,Date,Receipt_Count
0,2021-01-01,7564766
1,2021-01-02,7455524
2,2021-01-03,7095414
3,2021-01-04,7666163
4,2021-01-05,7771289
5,2021-01-06,7473320
6,2021-01-07,7832624
7,2021-01-08,7765028
8,2021-01-09,7385245
9,2021-01-10,7392087
10,2021-01-11,7738899
11,2021-01-12,7840830
12,2021-01-13,8122546
13,2021-01-14,7694195
14,2021-01-15,7200595
15,2021-01-16,7744470
16,2021-01-17,7610648
17,2021-01-18,7880913
18,2021-01-19,7250032
19,2021-01-20,7666397
20,2021-01-21,7742477
21,2021-01-22,7807438
22,2021-01-23,7603625
23,2021-01-24,7572947
24,2021-01-25,7598153
25,2021-01-26,7194687
26,2021-01-27,7787109
27,2021-01-28,7631075
28,2021-01-29,7750536
29,2021-01-30,8059526
30,2021-01-31,7838129
31,2021-02-01,7714465
32,2021-02-02,7766408
33,2021-02-03,7832259
34,2021-02-04,7506461
35,2021-02-05,7816477
36,2021-02-06,7360372
37,2021-02-07,8039414
38,2021-02-08,7858632
39,2021-02-09,7810951
40,2021-02-10,7579882
41,2021-02-11,8127696
42,2021-02-12,7748085
43,2021-02-13,8117805
44,2021-02-14,7780006
45,2021-02-15,7916028
46,2021-02-16,7736671
47,2021-02-17,8082781
48,2021-02-18,7824063
49,2021-02-19,7761256
50,2021-02-20,7821879
51,2021-02-21,7760399
52,2021-02-22,8330147
53,2021-02-23,8053953
54,2021-02-24,7816117
55,2021-02-25,8156649
56,2021-02-26,7857443
57,2021-02-27,7881212
58,2021-02-28,7975949
59,2021-03-01,7970632
60,2021-03-02,7998865
61,2021-03-03,7748662
62,2021-03-04,8080043
63,2021-03-05,7971011
64,2021-03-06,8309959
65,2021-03-07,7945271
66,2021-03-08,8352635
67,2021-03-09,7861647
68,2021-03-10,7920726
69,2021-03-11,7921232
70,2021-03-12,8142874
71,2021-03-13,7731725
72,2021-03-14,8070687
73,2021-03-15,7825047
74,2021-03-16,7920469
75,2021-03-17,7946897
76,2021-03-18,8090998
77,2021-03-19,8415152
78,2021-03-20,8325436
79,2021-03-21,8105278
80,2021-03-22,7562433
81,2021-03-23,8096085
82,2021-03-24,8034268
83,2021-03-25,8050876
84,2021-03-26,8077321
85,2021-03-27,7999117
86,2021-03-28,8082481
87,2021-03-29,8126444
88,2021-03-30,7911341
89,2021-03-31,8013013
90,2021-04-01,8353242
91,2021-04-02,8042185
92,2021-04-03,8401675
93,2021-04-04,8134408
94,2021-04-05,8422480
95,2021-04-06,8140096
96,2021-04-07,8385138
97,2021-04-08,8619576
98,2021-04-09,7961949
99,2021-04-10,8388608
100,2021-04-11,8458290
101,2021-04-12,8206730
102,2021-04-13,8319338
103,2021-04-14,8726486
104,2021-04-15,8342572
105,2021-04-16,8438884
106,2021-04-17,8186918
107,2021-04-18,8195134
108,2021-04-19,8366630
109,2021-04-20,8282495
110,2021-04-21,8641338
111,2021-04-22,8521710
112,2021-04-23,8255078
113,2021-04-24,8221890
114,2021-04-25,8509398
115,2021-04-26,8055670
116,2021-04-27,8266410
117,2021-04-28,8367438
118,2021-04-29,8704248
119,2021-04-30,8728816
120,2021-05-01,8231674
121,2021-05-02,8278534
122,2021-05-03,8727522
123,2021-05-04,8649710
124,2021-05-05,8519563
125,2021-05-06,8435867
126,2021-05-07,8227322
127,2021-05-08,8383810
128,2021-05-09,8109287
129,2021-05-10,8518147
130,2021-05-11,8472640
131,2021-05-12,8359580
132,2021-05-13,8262562
133,2021-05-14,8503389
134,2021-05-15,8498352
135,2021-05-16,9066670
136,2021-05-17,8744235
137,2021-05-18,8688343
138,2021-05-19,8475700
139,2021-05-20,8471826
140,2021-05-21,9020316
141,2021-05-22,8399861
142,2021-05-23,8387758
143,2021-05-24,8637948
144,2021-05-25,8088783
145,2021-05-26,8148275
146,2021-05-27,8682340
147,2021-05-28,8879871
148,2021-05-29,8680501
149,2021-05-30,8083372
150,2021-05-31,8517990
151,2021-06-01,8491801
152,2021-06-02,9031534
153,2021-06-03,8319351
154,2021-06-04,8553246
155,2021-06-05,8534097
156,2021-06-06,8462584
157,2021-06-07,8691699
158,2021-06-08,8686964
159,2021-06-09,8550358
160,2021-06-10,8143101
161,2021-06-11,8645316
162,2021-06-12,8928652
163,2021-06-13,9082265
164,2021-06-14,8796515
165,2021-06-15,8629607
166,2021-06-16,8827278
167,2021-06-17,8946278
168,2021-06-18,8390857
169,2021-06-19,8782778
170,2021-06-20,8817338
171,2021-06-21,8543719
172,2021-06-22,8590990
173,2021-06-23,8774391
174,2021-06-24,8913737
175,2021-06-25,8665876
176,2021-06-26,8707038
177,2021-06-27,8869334
178,2021-06-28,9186579
179,2021-06-29,8372464
180,2021-06-30,8721093
181,2021-07-01,8704509
182,2021-07-02,8939614
183,2021-07-03,9267015
184,2021-07-04,8544557
185,2021-07-05,8735065
186,2021-07-06,8326629
187,2021-07-07,8831147
188,2021-07-08,8857992
189,2021-07-09,9160117
190,2021-07-10,8672036
191,2021-07-11,8670423
192,2021-07-12,8869283
193,2021-07-13,8686309
194,2021-07-14,8654144
195,2021-07-15,8860853
196,2021-07-16,9198488
197,2021-07-17,8960260
198,2021-07-18,9122667
199,2021-07-19,9138658
200,2021-07-20,8987305
201,2021-07-21,8899455
202,2021-07-22,9017914
203,2021-07-23,8480182
204,2021-07-24,8603099
205,2021-07-25,8636410
206,2021-07-26,8996817
207,2021-07-27,9024807
208,2021-07-28,9329236
209,2021-07-29,8979426
210,2021-07-30,8909272
211,2021-07-31,8712314
212,2021-08-01,8861903
213,2021-08-02,8913143
214,2021-08-03,9223398
215,2021-08-04,9410437
216,2021-08-05,9212329
217,2021-08-06,9062121
218,2021-08-07,9432522
219,2021-08-08,9111057
220,2021-08-09,8971236
221,2021-08-10,8799249
222,2021-08-11,9127038
223,2021-08-12,9362940
224,2021-08-13,9077857
225,2021-08-14,9413465
226,2021-08-15,8950079
227,2021-08-16,9215173
228,2021-08-17,9056307
229,2021-08-18,8968187
230,2021-08-19,9357610
231,2021-08-20,8971426
232,2021-08-21,9238276
233,2021-08-22,9372279
234,2021-08-23,9589375
235,2021-08-24,8961875
236,2021-08-25,9160096
237,2021-08-26,9052229
238,2021-08-27,8778271
239,2021-08-28,9245534
240,2021-08-29,9384023
241,2021-08-30,9474742
242,2021-08-31,9189054
243,2021-09-01,9167277
244,2021-09-02,9123056
245,2021-09-03,9251321
246,2021-09-04,9377700
247,2021-09-05,9782022
248,2021-09-06,8930331
249,2021-09-07,9718666
250,2021-09-08,9262001
251,2021-09-09,9095889
252,2021-09-10,9364629
253,2021-09-11,9508131
254,2021-09-12,9264013
255,2021-09-13,9461281
256,2021-09-14,9032235
257,2021-09-15,9574777
258,2021-09-16,9189740
259,2021-09-17,9508023
260,2021-09-18,9580631
261,2021-09-19,9697272
262,2021-09-20,9292315
263,2021-09-21,9090518
264,2021-09-22,9294810
265,2021-09-23,9400956
266,2021-09-24,9871832
267,2021-09-25,9569204
268,2021-09-26,9583588
269,2021-09-27,9412385
270,2021-09-28,9221235
271,2021-09-29,9328174
272,2021-09-30,9192142
273,2021-10-01,9432155
274,2021-10-02,9755500
275,2021-10-03,9562636
276,2021-10-04,9497084
277,2021-10-05,9656472
278,2021-10-06,9461320
279,2021-10-07,9363588
280,2021-10-08,9834844
281,2021-10-09,9113802
282,2021-10-10,9290592
283,2021-10-11,9282316
284,2021-10-12,9725761
285,2021-10-13,9449353
286,2021-10-14,9492895
287,2021-10-15,9599402
288,2021-10-16,9664876
289,2021-10-17,9702569
290,2021-10-18,9574962
291,2021-10-19,9540428
292,2021-10-20,9617606
293,2021-10-21,9509561
294,2021-10-22,9417190
295,2021-10-23,9748484
296,2021-10-24,9476970
297,2021-10-25,9373507
298,2021-10-26,9646801
299,2021-10-27,9635634
300,2021-10-28,9530612
301,2021-10-29,9627467
302,2021-10-30,9879362
303,2021-10-31,9501436
304,2021-11-01,9631220
305,2021-11-02,10004975
306,2021-11-03,9749567
307,2021-11-04,9925777
308,2021-11-05,9863408
309,2021-11-06,9933505
310,2021-11-07,9383028
311,2021-11-08,9607159
312,2021-11-09,9707735
313,2021-11-10,9691895
314,2021-11-11,9854091
315,2021-11-12,9695957
316,2021-11-13,10047149
317,2021-11-14,9845653
318,2021-11-15,9656831
319,2021-11-16,10285056
320,2021-11-17,9606579
321,2021-11-18,9928425
322,2021-11-19,9980182
323,2021-11-20,9915679
324,2021-11-21,9837099
325,2021-11-22,9608834
326,2021-11-23,9893666
327,2021-11-24,9897017
328,2021-11-25,10129048
329,2021-11-26,9828852
330,2021-11-27,10014982
331,2021-11-28,10057900
332,2021-11-29,10204676
333,2021-11-30,10299217
334,2021-12-01,9731627
335,2021-12-02,9674146
336,2021-12-03,9679469
337,2021-12-04,10060861
338,2021-12-05,9771507
339,2021-12-06,9726983
340,2021-12-07,10152789
341,2021-12-08,9961637
342,2021-12-09,9888931
343,2021-12-10,10016144
344,2021-12-11,10025271
345,2021-12-12,10013123
346,2021-12-13,10144930
347,2021-12-14,10246870
348,2021-12-15,9838107
349,2021-12-16,9845904
350,2021-12-17,10220516
351,2021-12-18,9835059
352,2021-12-19,9572522
353,2021-12-20,10379305
354,2021-12-21,9680446
355,2021-12-22,10124238
356,2021-12-23,9464659
357,2021-12-24,9703857
358,2021-12-25,10045897
359,2021-12-26,10738865
360,2021-12-27,10350408
361,2021-12-28,10219445
362,2021-12-29,10313337
363,2021-12-30,10310644
364,2021-12-31,10211187
